service_id,date,exception_type
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230420,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230421,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230427,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230428,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230417,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230418,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230419,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230424,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230425,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230426,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230407,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230413,1
