service_id,date,exception_type
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230516,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230503,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230510,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230517,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230427,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230428,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230519,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-D05-Jeu-Ven-00-B_SEPT22-D05-L-Ma-Me-00,20230426,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230504,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230505,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230511,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230512,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230502,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230509,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230515,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230516,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230503,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230510,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230517,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230502,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230509,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230515,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230516,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230503,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230510,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230517,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230430,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230507,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230508,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230514,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230518,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230521,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230426,1
B_SEPT22-TAD04-Semaine-00-1101100,20230508,2
B_SEPT22-TAD04-Semaine-00-1111100-B_SEPT22-TAD04-Semaine-10-1111100,20230502,1
B_SEPT22-TAD04-Semaine-00-1111100-B_SEPT22-TAD04-Semaine-10-1111100,20230503,1
B_SEPT22-TAD04-Semaine-00-1111100-B_SEPT22-TAD04-Semaine-10-1111100,20230504,1
B_SEPT22-TAD04-Semaine-00-1111100-B_SEPT22-TAD04-Semaine-10-1111100,20230505,1
